Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Recommended_Major
c,a,Yes,No,No,Yes,No,No,No,No,No,Yes,Law
d,d,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Media
c,b,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Commerce
b,d,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Media
a,c,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Engineering
c,d,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Commerce
b,b,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Computer Science
d,a,No,No,No,No,No,No,No,No,No,No,Media
d,a,No,No,No,No,No,Yes,Yes,Yes,No,No,Applied Sciences for Space and Navigation
a,b,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Engineering
a,c,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Media
b,b,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Computer Science
c,c,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Commerce
d,b,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Applied Health Sciences
c,a,Yes,No,No,No,No,No,No,No,Yes,No,Commerce
c,d,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Commerce
b,d,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Computer Science
c,c,No,Yes,No,No,Yes,Yes,No,No,No,No,Fine Arts
c,c,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Commerce
c,b,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Commerce
d,d,No,No,No,Yes,No,Yes,No,No,Yes,No,Law
c,c,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Commerce
a,a,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Engineering
b,a,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Computer Science
d,c,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Fine Arts
a,b,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Engineering
a,a,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Media
d,b,No,Yes,No,No,No,No,No,No,No,Yes,Fine Arts
a,d,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Engineering
c,d,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Media
c,d,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Commerce
a,d,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Media
b,a,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Computer Science
d,a,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Media
b,c,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Computer Science
d,a,Yes,No,No,No,No,No,No,No,No,No,Fine Arts
a,c,No,No,No,Yes,No,Yes,No,No,No,No,Law
d,c,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Fine Arts
c,d,No,Yes,No,No,No,No,Yes,No,No,Yes,Science
c,d,No,Yes,No,Yes,No,Yes,No,No,No,No,Law
d,d,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Fine Arts
d,d,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Media
c,c,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Commerce
a,a,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Engineering
d,d,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Fine Arts
d,a,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Fine Arts
b,d,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Law
d,b,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Fine Arts
c,d,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Commerce
d,a,No,No,Yes,Yes,No,No,No,No,No,Yes,Media
a,d,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Engineering
c,a,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Applied Sciences for Space and Navigation
a,a,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Engineering
b,a,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Computer Science
b,d,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Media
c,a,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Media
c,d,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Commerce
b,a,Yes,No,No,No,Yes,No,No,No,Yes,No,Higher Institute of Administrative Sciences
b,a,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Computer Science
d,a,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Fine Arts
b,c,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Computer Science
a,a,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Fine Arts
a,d,Yes,No,No,No,Yes,No,No,Yes,No,No,Engineering
a,c,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Media
b,d,No,No,No,No,Yes,No,Yes,Yes,No,No,Commerce
d,d,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Fine Arts
c,a,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Applied Sciences for Space and Navigation
d,d,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Fine Arts
b,a,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Computer Science
d,a,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Media
a,a,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Engineering
a,a,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Engineering
d,c,No,Yes,No,No,Yes,No,No,Yes,No,No,Fine Arts
d,a,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Fine Arts
b,b,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Media
c,b,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Commerce
b,a,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Computer Science
a,b,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Law
b,c,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Computer Science
a,c,No,No,No,Yes,No,No,No,Yes,Yes,No,Engineering
a,a,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Applied Sciences for Space and Navigation
b,d,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Law
b,d,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Media
b,a,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Applied Sciences for Space and Navigation
a,c,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Engineering
d,c,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Media
d,a,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Fine Arts
a,d,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Engineering
c,b,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Commerce
d,d,No,No,No,No,No,Yes,No,Yes,No,Yes,Media
c,c,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
a,a,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Engineering
b,d,Yes,No,No,No,No,No,Yes,No,No,No,Fine Arts
a,c,No,Yes,No,No,No,No,No,No,No,No,Science
b,b,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Computer Science
a,d,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Engineering
d,d,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Fine Arts
d,b,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Fine Arts
d,a,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Fine Arts
d,d,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Fine Arts
d,c,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Fine Arts
a,a,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Applied Sciences for Space and Navigation
d,a,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Applied Sciences for Space and Navigation
c,d,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Law
a,b,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Engineering
b,a,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Computer Science
d,d,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Fine Arts
d,a,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Applied Sciences for Space and Navigation
d,c,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Media
b,d,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Computer Science
c,d,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Media
b,a,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Computer Science
c,a,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Commerce
c,b,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Commerce
b,a,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Computer Science
c,a,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Media
d,d,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Media
b,b,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Law
d,a,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Fine Arts
c,b,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Commerce
b,d,No,No,No,No,Yes,No,No,No,Yes,Yes,Computer Science
b,d,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Computer Science
b,d,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Computer Science
b,d,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Media
a,c,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Engineering
c,c,No,No,No,No,Yes,No,No,No,No,Yes,Fine Arts
c,a,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Commerce
b,d,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Computer Science
c,b,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Applied Health Sciences
a,c,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Engineering
b,b,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Computer Science
d,c,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Fine Arts
c,a,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Commerce
c,b,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Commerce
b,d,No,No,No,Yes,No,No,Yes,No,Yes,No,Law
b,d,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Computer Science
b,a,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Computer Science
d,a,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Law
b,b,No,Yes,No,No,Yes,No,No,No,No,No,Applied Health Sciences
c,c,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Commerce
c,d,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Commerce
d,b,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fine Arts
c,b,No,No,No,Yes,Yes,No,No,No,No,Yes,Applied Health Sciences
b,d,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Computer Science
c,d,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Commerce
d,c,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Fine Arts
c,c,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Media
c,c,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Commerce
a,c,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Law
b,d,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Computer Science
b,d,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Media
c,d,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Law
d,d,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fine Arts
a,d,No,No,Yes,Yes,Yes,No,No,No,No,No,Media
a,a,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Engineering
c,a,Yes,No,No,Yes,No,No,Yes,No,No,No,Law
a,d,No,Yes,No,No,No,No,Yes,No,No,No,Commerce
c,a,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Commerce
c,a,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Commerce
b,a,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Computer Science
d,a,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Applied Sciences for Space and Navigation
a,c,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
a,b,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Media
c,a,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Commerce
b,d,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Computer Science
b,c,No,No,No,Yes,No,No,Yes,Yes,No,No,Law
b,c,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Science
b,d,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Media
d,c,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Fine Arts
b,d,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Computer Science
b,b,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Applied Health Sciences
a,d,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Media
b,a,No,No,No,Yes,No,Yes,No,No,No,Yes,Computer Science
d,d,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Media
c,b,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Applied Health Sciences
d,d,No,No,No,No,No,Yes,Yes,No,Yes,No,Commerce
d,a,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Applied Sciences for Space and Navigation
c,b,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Applied Health Sciences
b,c,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Media
b,b,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Applied Health Sciences
b,c,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Computer Science
b,a,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Computer Science
c,d,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Media
d,a,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Applied Sciences for Space and Navigation
b,c,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Computer Science
a,c,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Media
c,d,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Science
a,a,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Applied Sciences for Space and Navigation
b,d,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Computer Science
b,d,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Computer Science
b,b,No,No,Yes,No,No,Yes,No,No,Yes,No,Media
b,d,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Media
c,a,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Commerce
a,c,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Engineering
a,a,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Engineering
b,a,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Applied Sciences for Space and Navigation
a,a,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Engineering
a,d,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Engineering
a,b,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Media
d,d,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Fine Arts
d,c,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Fine Arts
c,b,No,No,No,No,Yes,Yes,No,No,No,Yes,Applied Health Sciences
d,b,No,No,No,No,Yes,No,Yes,No,No,No,Applied Health Sciences
b,b,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Computer Science
c,d,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Commerce
a,d,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Media
a,b,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Applied Health Sciences
d,c,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Law
c,a,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Applied Sciences for Space and Navigation
a,a,No,Yes,No,No,Yes,No,No,No,Yes,No,Commerce
c,b,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Commerce
b,d,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Computer Science
c,b,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Commerce
c,b,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Applied Health Sciences
b,b,No,No,Yes,Yes,No,No,No,Yes,No,No,Media
a,b,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Applied Health Sciences
b,b,No,No,Yes,No,Yes,No,No,Yes,No,No,Applied Health Sciences
a,d,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Engineering
d,c,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Fine Arts
a,d,No,No,No,No,Yes,No,Yes,No,No,Yes,Media
d,a,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Applied Sciences for Space and Navigation
b,b,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Law
c,d,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Commerce
c,b,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Applied Health Sciences
c,a,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Commerce
a,c,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Media
b,b,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Media
c,d,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Commerce
d,b,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Applied Health Sciences
b,a,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Computer Science
d,c,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Fine Arts
c,b,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Fine Arts
b,d,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Computer Science
a,c,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Engineering
b,a,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Computer Science
c,b,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Commerce
c,a,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Commerce
b,c,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Computer Science
c,a,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Media
d,b,No,No,No,No,No,Yes,No,No,Yes,Yes,Media
d,b,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Fine Arts
b,a,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Computer Science
b,b,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Computer Science
c,a,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Applied Sciences for Space and Navigation
d,d,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Fine Arts
a,b,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Engineering
c,a,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Commerce
c,c,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Media
b,d,No,No,No,Yes,No,Yes,No,No,No,No,Law
a,d,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Media
b,d,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Computer Science
a,a,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Engineering
d,a,Yes,No,No,No,No,No,No,Yes,No,Yes,Science
a,a,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Fine Arts
d,d,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Fine Arts
b,a,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Applied Sciences for Space and Navigation
d,a,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Fine Arts
d,a,No,No,No,Yes,Yes,No,No,No,No,No,Law
d,b,No,No,No,Yes,No,No,No,No,No,Yes,Law
b,c,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Computer Science
c,c,No,No,No,Yes,No,Yes,No,No,No,Yes,Law
d,d,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Fine Arts
c,a,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Commerce
a,c,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Engineering
a,a,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Computer Science
c,c,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Commerce
d,b,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Fine Arts
a,d,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Media
b,b,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Computer Science
d,d,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Media
a,c,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Engineering
c,a,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Commerce
d,c,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Law
a,b,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Engineering
d,c,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Fine Arts
a,a,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Engineering
c,d,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Media
b,b,No,No,No,Yes,Yes,Yes,No,No,No,No,Applied Health Sciences
b,c,No,No,No,Yes,No,No,No,No,No,No,Law
b,c,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Computer Science
a,a,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Engineering
d,b,No,No,Yes,No,No,No,No,No,Yes,No,Media
c,b,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Commerce
b,d,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Media
d,b,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Fine Arts
d,a,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Fine Arts
c,c,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Commerce
b,a,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Commerce
c,b,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Law
c,c,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Commerce
d,d,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Fine Arts
a,a,No,No,No,Yes,No,Yes,No,Yes,No,No,Engineering
d,b,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Applied Health Sciences
c,d,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Law
c,c,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Media
d,c,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Law
a,d,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Media
b,b,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Applied Health Sciences
d,d,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
a,b,No,Yes,No,Yes,No,No,No,Yes,No,No,Engineering
a,b,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Engineering
d,d,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Fine Arts
d,b,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Applied Health Sciences
c,c,Yes,No,No,No,No,No,No,No,Yes,Yes,Commerce
a,d,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Media
c,c,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Media
a,d,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Law
c,a,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Commerce
d,c,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Law
c,a,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Commerce
b,b,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Computer Science
d,c,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Media
c,a,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
b,c,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Law
a,a,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Engineering
d,b,No,No,No,No,No,Yes,Yes,No,Yes,No,Media
b,b,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Computer Science
c,a,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Commerce
b,c,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Law
d,c,No,No,No,No,Yes,No,No,No,No,Yes,Science
d,c,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Fine Arts
c,b,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Media
a,a,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Applied Sciences for Space and Navigation
a,b,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Applied Health Sciences
b,b,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
d,b,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Applied Health Sciences
b,b,No,Yes,No,No,No,Yes,No,No,No,No,Commerce
c,a,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Media
a,a,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Applied Sciences for Space and Navigation
b,a,No,No,No,No,Yes,Yes,No,No,No,Yes,Computer Science
b,b,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Applied Health Sciences
a,d,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Engineering
c,a,No,No,Yes,No,No,Yes,No,Yes,No,No,Applied Sciences for Space and Navigation
a,c,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Engineering
c,c,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Media
c,b,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Commerce
a,a,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Engineering
c,a,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Commerce
c,c,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Commerce
b,b,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Computer Science
b,b,No,Yes,No,No,No,No,No,No,No,Yes,Computer Science
d,a,No,No,No,Yes,Yes,No,No,No,Yes,No,Law
c,d,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Law
b,c,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Science
a,a,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Engineering
a,a,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Media
b,d,No,Yes,No,No,No,No,No,No,No,Yes,Computer Science
a,d,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Media
